bnp_id,name_bn,date_bn,qualification,bnp_id,fauc_id
1767605,Francisco da Silva e Castro Júnior,18--19--,,1767605,
1767639,Jaime Alberto de Castro Morais,18--19--,,1767639,
1767646,António Henriques,18--19--,,1767646,
1767661,Jacinto da Costa Miranda,18--19--,,1767661,
1767714,Alvaro Correia Mourão,18--19--,,1767714,
1767729,Elisiário Luis Monteiro,18--19--,,1767729,
1767734,Raul do Carmo Pacheco,18--19--,,1767734,
1767750,Augusto Peixoto Lavinas,18--19--,,1767750,
1767751,Adolfo César Cid,18--19--,,1767751,
1767753,Henrique Navarro,18--19--,,1767753,
1767757,João Maria Pereira Rebelo,18--19--,,1767757,
1767758,Alberto Almeida Magro,18--19--,,1767758,
1767760,Francisco José de Sousa,18--19--,,1767760,
1767762,José Coelho de Montalvão,18--19--,,1767762,
1767781,Zeferino Martins da Silva Borges,18--19--,,1767781,
1767786,Gonçalo Monteiro Filipe,18--19--,,1767786,
1767831,Eduardo Alves dos Reis,18--19--,,1767831,
1767846,Cipriano António de Oliveira Pereira,18--19--,,1767846,
1767864,Luís António de Sousa,18--19--,,1767864,
1767870,Henrique Carlos da Costa Souto,18--19--,,1767870,
1767871,Augusto Pinto Gomes de Andrade,18--19--,,1767871,
1767872,Francisco Maria Soares de Vilhena,18--19--,,1767872,
1767874,Américo Herculano de Azevedo Campos,18--19--,,1767874,
1767881,Artur Barrote,18--19--,,1767881,
1767914,Alberto da Maia e Cruz do Vale,18--19--,,1767914,
1768159,A. Lopes Martins,18--,,1768159,
1768721,Maria Emília Freire,-1958,,1768721,
1768850,Mário Fernandes Nogueira Ramos Ramos,18--,,1768850,
1769014,Fortunato Rafael Hermano Wanzeller,18--,,1769014,
1769125,2º Marquês das Minas,1644-1721,,1769125,
1769206,"António Augusto,  Mendes",18--19--,,1769206,
1769207,Alvaro Cândido Furtado de Antas,18--19--,,1769207,
1769223, Alberto Luís da Costa  Sol,18--19--,,1769223,
1769231,João Barroso Dias,18--19--,,1769231,
1769233,José de Sousa Coelho,18--19--,,1769233,
1769241,Guilherme de Barros Nobre,18--19--,,1769241,
1769252,Lourenço Rodrigues Padim,18--19--,,1769252,
1769265,Manuel Maciel Leite e Araújo,18--19--,,1769265,
1769268,Acúrcio Gomes da Conceição e Silva,18--19--,,1769268,
1769271, José Teixeira de Seabra Dias,18--19--,,1769271,
1769272,Alvaro da Cunha  Reis,18--19--,,1769272,
1769273,Júlio César Fontoura Madureira Guedes,18--19--,,1769273,
1769280, Damião José Lourenço Júnior,1876-1947,,1769280,
1769381,Virgílio Augusto Marques Ferreira,18--19--,,1769381,
1769387,Manuel Rodrigues de Sousa,18--19--,,1769387,
1769397, Júlio Meireles Guerra,18--19--,,1769397,
1769400,Ernesto Alves de Azevedo,18--19--,,1769400,
1769426,Manuel Custódio Ribeiro Costa,18--19--,,1769426,
1769430,Faria e Vasconcelos,18--19--,,1769430,
1769555,Mateus Gonçalves da Costa,1786,,1769555,
1769587,Fructuoso Ferreira Alves,18--19--,,1769587,
1769682,Jorge Coelho,18--19--,,1769682,
1769689,José Joaquim Monteiro Simões,18--19--,,1769689,
1769720,João de São Caetano,1753,,1769720,
1769740,Joaquim F. A. Sequeira,18--,,1769740,
1769786,Gervásio do Rosário,1693-17--,,1769786,
1770057,Pierre Picquet,1780-18--,,1770057,
